Date,Adj Close,Close,High,Low,Open,Volume
7/23/2024,32.70000076,32.70000076,33.09999847,31.89999962,33,2013020
7/24/2024,31.70000076,31.70000076,32.70000076,31.60000038,32.70000076,3109620
7/25/2024,29.39999962,29.39999962,30,29.20000076,29.79999924,3204160
7/26/2024,30.79999924,30.79999924,31,30.29999924,30.39999962,3666450
7/29/2024,31.20000076,31.20000076,31.89999962,30.70000076,31.89999962,3367340
7/30/2024,30.79999924,30.79999924,31.65999985,30.70000076,31.60000038,1554630
7/31/2024,30.79999924,30.79999924,31.60000038,30.53000069,31.39999962,2385780
8/1/2024,29.39999962,29.39999962,30.10000038,29,30,1783960
8/2/2024,28.29999924,28.29999924,30,28.10000038,29.60000038,2208020
8/5/2024,22.70000076,22.70000076,23.79999924,20.60000038,20.89999962,4108410
8/6/2024,23.5,23.5,24.10000038,22.79999924,23.20000076,1963500
8/7/2024,22.10000038,22.10000038,23.5,21.95000076,23.29999924,2336400
8/8/2024,24.29999924,24.29999924,24.60000038,22.75,23.29999924,1916760
8/9/2024,24.45000076,24.45000076,25.10000038,24.04000092,24.89999962,1555620
8/12/2024,25.10000038,25.10000038,25.70000076,24.44000053,25.29999924,1651100
8/13/2024,25.5,25.5,25.77000046,24.79999924,24.89999962,1161770
8/14/2024,25.10000038,25.10000038,25.79999924,24.79999924,25.70000076,1394390
8/15/2024,24.10000038,24.10000038,25.20000076,23.79999924,25.10000038,1508750
8/16/2024,24.79999924,24.79999924,24.79999924,24.04999924,24.5,1043350
8/19/2024,24.60000038,24.60000038,24.79999924,24.12999916,24.5,729270
8/20/2024,24.60000038,24.60000038,25,24.10000038,24.79999924,829290
8/21/2024,25,25,25,23.89999962,24.39999962,1034470
8/22/2024,24.5,24.5,24.79999924,24.39999962,24.79999924,763330
8/23/2024,25.89999962,25.89999962,26,24.79999924,25.10000038,1371680
8/26/2024,25.29999924,25.29999924,25.89999962,25.20000076,25.89999962,833180
8/27/2024,24.39999962,24.39999962,24.79999924,24.10000038,24.79999924,865950
8/28/2024,23.60000038,23.60000038,24,23.13999939,23.79999924,1359220
8/29/2024,23.79999924,23.79999924,24.5,23.64999962,24.29999924,733570
8/30/2024,23.60000038,23.60000038,24,22.89999962,23.70000076,1127820
9/3/2024,23,23,23.64999962,22.89999962,23.60000038,983650
9/4/2024,23.20000076,23.20000076,23.5,22.5,22.5,1269650
9/5/2024,22.20000076,22.20000076,22.79999924,22.10000038,22.5,1108490
9/6/2024,20.89999962,20.89999962,22.60000038,20.79999924,22.5,1415400
9/9/2024,22.20000076,22.20000076,22.20000076,21.39999962,21.79999924,970110
9/10/2024,22.39999962,22.39999962,22.60000038,21.89999962,22.10000038,799930
9/11/2024,22,22,22.29999924,21.39999962,22,1012580
9/12/2024,22.29999924,22.29999924,22.29999924,21.79999924,22.10000038,901910
9/13/2024,22.79999924,22.79999924,22.89999962,22.10000038,22.20000076,1095140
9/16/2024,21.39999962,21.39999962,21.79999924,21.35000038,21.79999924,1238560
9/17/2024,22.20000076,22.20000076,22.60000038,21.70000076,21.89999962,1025130
9/18/2024,21.79999924,21.79999924,22.25,21.5,21.79999924,1206270
9/19/2024,23.29999924,23.29999924,23.5,22.79999924,23,1378920
9/20/2024,24,24,24.29999924,23.70000076,23.89999962,1198580
9/23/2024,25.20000076,25.20000076,25.5,24.79999924,25,1397250
9/24/2024,25,25,25.10000038,24.39999962,24.89999962,1241060
9/25/2024,24.20000076,24.20000076,24.79999924,24.20000076,24.60000038,1036850
9/26/2024,25,25,25.20000076,24.60000038,24.70000076,1366300
9/27/2024,25.5,25.5,25.79999924,24.89999962,25.10000038,1299750
9/30/2024,24.39999962,24.39999962,24.89999962,24.20000076,24.89999962,1159130
10/1/2024,23.5,23.5,24.65999985,22.89999962,24.60000038,1895580
10/2/2024,22.39999962,22.39999962,23.39999962,22.29999924,22.89999962,1736250
10/3/2024,22.20000076,22.20000076,22.29999924,21.79999924,22.10000038,1331260
10/4/2024,22.89999962,22.89999962,23,22.10000038,22.39999962,959380
10/7/2024,23.10000038,23.10000038,23.79999924,22.79999924,23.29999924,1305430
10/8/2024,23,23,23.20000076,22.60000038,22.89999962,1166360
10/9/2024,22.70000076,22.70000076,23.29999924,22.70000076,22.89999962,1508560
10/10/2024,22.29999924,22.29999924,22.79999924,21.89999962,22.60000038,1419670
10/11/2024,23.20000076,23.20000076,23.29999924,22.79999924,22.79999924,893650
10/14/2024,24.70000076,24.70000076,24.98999977,24,24,1513430
10/15/2024,24.5,24.5,25.35000038,23.89999962,24.60000038,1729800
10/16/2024,24.70000076,24.70000076,24.95000076,24.39999962,24.70000076,1124610
10/17/2024,24.39999962,24.39999962,24.79999924,24.23999977,24.5,1504950
10/18/2024,25,25,25.29999924,24.60000038,24.70000076,1351130
10/21/2024,25.20000076,25.20000076,25.39999962,25,25.39999962,1017380
10/22/2024,24.79999924,24.79999924,24.89999962,24.5,24.79999924,989490
10/23/2024,23.60000038,23.60000038,24.39999962,23.10000038,24.20000076,976180
10/24/2024,24,24,24,23.60000038,23.89999962,1093080
10/25/2024,23.20000076,23.20000076,24.20000076,23.10000038,24,1566870
10/28/2024,23.60000038,23.60000038,23.89999962,23.39999962,23.89999962,2110200
10/29/2024,24.70000076,24.70000076,25.29999924,24.60000038,24.70000076,2347460
10/30/2024,25,25,25.70000076,25,25.39999962,2671020
10/31/2024,23.60000038,23.60000038,24.79999924,23.60000038,24.79999924,3613480
